"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"618",617,459,1,29,1,44,8,0,0,4,4,5,4,7,827,1,14,25,0,10,0,1,424,"1"
"623",622,385,1,130,1,20,8,0,0,4,1,5,13,7,7,1,14,1,8,6,0,1,381,"2"
"624",623,137,2,127,2,134,14,0,0,1,4,5,15,7,899,2,14,19,8,8,0,1,135,"1"
"626",625,201,2,272,1,121,14,0,0,4,1,5,15,7,389,1,14,190,8,7,0,1,161,"2"
"633",632,294,0,2,1,16,8,2,4,2,4,5,15,7,771,2,14,51,8,6,0,1,497,"1"
"635",634,441,1,7,1,127,14,0,0,4,4,5,13,7,323,1,14,19,0,8,0,1,274,"1"
"636",635,194,2,400,1,121,14,0,0,5,4,5,11,7,646,0,14,5,8,8,0,1,159,"1"
"637",636,580,1,273,1,50,14,0,0,1,4,5,3,7,841,1,14,19,15,7,0,1,256,"1"
"643",642,104,2,409,2,94,14,0,0,4,1,5,14,7,504,0,14,207,8,6,0,1,368,"2"
"647",646,561,1,397,1,88,16,0,0,4,1,5,9,7,515,2,19,65,15,6,0,1,33,"1"
"649",648,197,2,260,1,84,14,0,0,0,1,5,15,7,806,1,14,26,8,10,0,1,264,"2"
"654",653,102,2,209,1,38,14,2,4,1,4,5,1,7,199,0,14,194,5,7,0,1,394,"1"
"655",654,434,1,27,0,77,14,0,0,4,4,5,4,7,847,1,0,137,18,5,0,1,71,"1"
"657",656,197,2,260,1,84,14,0,0,0,1,5,15,6,576,0,14,158,0,5,0,1,264,"2"
"661",660,478,1,51,1,18,10,0,0,4,4,5,15,7,280,1,14,51,8,7,0,1,55,"1"
"663",662,304,0,252,1,38,8,2,4,4,4,5,9,7,487,2,14,19,15,8,0,1,606,"2"
"667",666,33,2,325,2,134,14,1,0,4,1,5,14,7,183,0,14,19,8,8,0,1,131,"1"
"669",668,49,2,261,1,121,14,0,0,4,4,5,7,7,56,1,14,179,5,5,0,1,185,"2"
"670",669,54,2,497,2,75,14,0,0,4,4,5,15,6,431,1,14,201,8,6,0,1,215,"1"
"671",670,17,2,421,2,11,14,0,0,4,1,5,9,7,751,1,14,178,8,5,0,1,98,"2"
"672",671,114,2,347,2,23,14,0,0,4,1,5,13,7,769,0,14,75,8,7,0,1,302,"1"
"674",673,287,0,541,1,38,8,2,4,4,1,5,15,7,64,1,14,169,8,6,0,1,518,"2"
"676",675,115,2,538,2,106,14,0,0,4,3,5,15,7,743,1,14,187,8,5,0,1,230,"2"
"678",677,456,1,563,1,93,8,1,0,4,3,5,15,7,732,1,14,86,8,8,0,1,420,"2"
"680",679,315,0,26,0,78,8,1,4,1,4,5,4,6,329,1,14,55,5,9,0,1,429,"1"
"682",681,314,0,194,1,38,8,1,0,4,1,5,4,7,898,1,0,49,8,6,0,1,511,"1"
"684",683,347,0,465,2,131,8,0,0,4,1,5,15,7,147,1,14,240,5,7,0,1,611,"2"
"689",688,202,2,626,1,50,14,0,0,4,4,5,15,7,704,2,20,35,8,7,0,1,253,"2"
"693",692,19,2,0,2,75,14,2,4,1,1,5,13,7,122,1,14,62,8,5,0,1,175,"1"
"700",699,244,0,628,1,76,8,0,0,5,1,5,12,7,415,2,14,42,8,7,0,1,577,"1"
"705",704,305,0,522,1,104,8,0,0,4,1,5,4,6,139,1,14,25,7,7,0,1,454,"2"
"707",706,457,1,277,1,16,8,0,0,4,4,5,9,7,685,2,14,43,8,7,0,1,543,"1"
"708",707,49,2,261,1,121,14,0,0,4,4,5,7,7,711,0,14,198,8,8,0,1,185,"2"
"709",708,614,1,590,1,100,14,0,0,4,1,5,15,7,237,2,14,37,8,8,0,1,125,"2"
"711",710,398,1,144,2,15,8,0,0,4,1,5,9,7,283,5,15,207,18,6,0,1,597,"1"
"712",711,148,2,600,2,53,14,0,4,1,1,5,15,6,72,1,14,43,0,5,0,1,380,"2"
"714",713,148,2,600,2,53,14,0,4,1,1,5,15,7,519,1,14,133,8,5,0,1,380,"2"
"715",714,20,2,314,2,70,14,0,0,4,4,5,4,7,123,1,14,15,5,7,0,1,170,"1"
"720",719,377,1,59,1,104,8,0,0,4,4,5,9,7,494,2,14,25,15,7,0,1,440,"2"
"722",721,555,1,101,2,64,14,0,0,4,1,5,4,7,493,1,14,23,8,7,0,1,130,"2"
"729",728,333,0,48,0,78,8,1,4,4,4,5,7,6,716,1,14,51,8,9,0,1,422,"2"
"730",729,556,1,10,0,109,14,0,0,4,4,5,15,7,676,0,14,62,16,5,0,1,349,"1"
"736",735,171,2,134,1,50,14,0,4,1,4,5,4,7,383,1,0,111,8,8,0,1,292,"1"
"737",736,142,2,23,1,50,14,2,4,1,4,5,15,7,67,1,14,182,8,8,0,1,295,"2"
"740",739,431,1,268,1,38,14,0,0,4,4,5,15,7,402,1,14,25,5,8,0,1,400,"1"
"743",742,289,0,156,1,104,8,1,0,4,1,5,15,7,572,5,14,207,8,1,0,1,451,"1"
"745",744,616,1,204,2,96,14,0,0,1,4,5,4,9,470,1,14,19,5,7,0,1,334,"2"
"748",747,582,1,176,1,112,9,0,0,4,1,5,9,7,291,5,14,221,8,7,0,1,70,"1"
